[100] - 127.0.0.1 - [15/Apr/2014 13:55:43 +03:00] Y:\home\upcms.up\www\admin\includes\enter.php - Успешный вход [jQuery] - Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.16
[100] - 127.0.0.1 - [15/Apr/2014 13:57:16 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Сортировка фото в галерее [jQuery] - Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.16
[100] - 127.0.0.1 - [15/Apr/2014 13:57:16 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Сортировка фото в галерее [jQuery] - Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.16
[100] - 127.0.0.1 - [15/Apr/2014 13:57:16 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Сортировка фото в галерее [jQuery] - Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.16
[100] - 127.0.0.1 - [15/Apr/2014 13:57:16 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Сортировка фото в галерее [jQuery] - Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.16
[100] - 127.0.0.1 - [15/Apr/2014 13:57:16 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Сортировка фото в галерее [jQuery] - Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.16
[100] - 127.0.0.1 - [15/Apr/2014 13:57:16 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Сортировка фото в галерее [jQuery] - Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.16
[100] - 127.0.0.1 - [15/Apr/2014 13:57:16 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Сортировка фото в галерее [jQuery] - Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.16
[100] - 127.0.0.1 - [15/Apr/2014 13:57:16 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Сортировка фото в галерее [jQuery] - Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.16
[100] - 127.0.0.1 - [15/Apr/2014 13:57:16 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Сортировка фото в галерее [jQuery] - Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.16
[100] - 127.0.0.1 - [15/Apr/2014 13:57:16 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Сортировка фото в галерее [jQuery] - Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.16
[100] - 127.0.0.1 - [15/Apr/2014 13:57:16 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Сортировка фото в галерее [jQuery] - Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.16
[100] - 127.0.0.1 - [15/Apr/2014 13:57:16 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Сортировка фото в галерее [jQuery] - Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.16
[100] - 127.0.0.1 - [15/Apr/2014 13:57:16 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Сортировка фото в галерее [jQuery] - Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.16
[100] - 127.0.0.1 - [15/Apr/2014 13:57:16 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Сортировка фото в галерее [jQuery] - Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.16
