[100] - Успешный вход [jQuery] - 127.0.0.1 - [24/Oct/2014 01:42:56 +03:00] Y:\home\upcms.up\www\admin\includes\enter.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36
[100] - Заказ перенесён в оброботанные (id:1) [jQuery] - 127.0.0.1 - [24/Oct/2014 01:43:25 +03:00] Y:\home\upcms.up\www\admin\includes\orders.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36
[100] - Заказ перенесён в необработанные (id:1) [jQuery] - 127.0.0.1 - [24/Oct/2014 01:43:34 +03:00] Y:\home\upcms.up\www\admin\includes\orders.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36
[100] - Добавление раздела - (id:10) [jQuery] - 127.0.0.1 - [24/Oct/2014 01:45:11 +03:00] Y:\home\upcms.up\www\admin\includes\catalog.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36
[100] - Сортировка фото в галерее [jQuery] - 127.0.0.1 - [24/Oct/2014 01:48:56 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36
[100] - Сортировка фото в галерее [jQuery] - 127.0.0.1 - [24/Oct/2014 01:48:56 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36
[100] - Сортировка фото в галерее [jQuery] - 127.0.0.1 - [24/Oct/2014 01:48:56 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36
[100] - Сортировка фото в галерее [jQuery] - 127.0.0.1 - [24/Oct/2014 01:48:56 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36
[100] - Сортировка фото в галерее [jQuery] - 127.0.0.1 - [24/Oct/2014 01:48:56 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36
[100] - Сортировка фото в галерее [jQuery] - 127.0.0.1 - [24/Oct/2014 01:48:56 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36
[100] - Сортировка фото в галерее [jQuery] - 127.0.0.1 - [24/Oct/2014 01:48:56 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36
[100] - Сортировка фото в галерее [jQuery] - 127.0.0.1 - [24/Oct/2014 01:48:56 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36
[100] - Сортировка фото в галерее [jQuery] - 127.0.0.1 - [24/Oct/2014 01:48:56 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36
[100] - Сортировка фото в галерее [jQuery] - 127.0.0.1 - [24/Oct/2014 01:48:56 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36
[100] - Сортировка фото в галерее [jQuery] - 127.0.0.1 - [24/Oct/2014 01:48:56 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36
[100] - Сортировка фото в галерее [jQuery] - 127.0.0.1 - [24/Oct/2014 01:48:58 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36
[100] - Сортировка фото в галерее [jQuery] - 127.0.0.1 - [24/Oct/2014 01:48:58 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36
[100] - Сортировка фото в галерее [jQuery] - 127.0.0.1 - [24/Oct/2014 01:48:58 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36
[100] - Сортировка фото в галерее [jQuery] - 127.0.0.1 - [24/Oct/2014 01:48:58 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36
[100] - Сортировка фото в галерее [jQuery] - 127.0.0.1 - [24/Oct/2014 01:48:58 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36
[100] - Сортировка фото в галерее [jQuery] - 127.0.0.1 - [24/Oct/2014 01:48:58 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36
[100] - Сортировка фото в галерее [jQuery] - 127.0.0.1 - [24/Oct/2014 01:48:58 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36
[100] - Сортировка фото в галерее [jQuery] - 127.0.0.1 - [24/Oct/2014 01:48:58 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36
[100] - Сортировка фото в галерее [jQuery] - 127.0.0.1 - [24/Oct/2014 01:48:58 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36
[100] - Сортировка фото в галерее [jQuery] - 127.0.0.1 - [24/Oct/2014 01:48:58 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36
[100] - Сортировка фото в галерее [jQuery] - 127.0.0.1 - [24/Oct/2014 01:48:58 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36
[101] - Ошибка при добавлении фото в галарею - 127.0.0.1 - [24/Oct/2014 01:49:18 +03:00] Y:\home\upcms.up\www\admin\ajax_files\uploadify.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36
[101] - Ошибка при добавлении фото в галарею - 127.0.0.1 - [24/Oct/2014 01:49:18 +03:00] Y:\home\upcms.up\www\admin\ajax_files\uploadify.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36
[100] - Завершение сеанса [jQuery] - 127.0.0.1 - [24/Oct/2014 01:51:21 +03:00] Y:\home\upcms.up\www\admin\includes\exit.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36
